video,video_file_path,time_period,total_center_movement,total_avg_movement
vid_1,./data/video/vid_20201125_2000_reset.mp4,night,1637.095144,8509.441453
vid_2,./data/video/vid_20201126_0800_reset.mp4,day,1819.464195,8787.524555
vid_3,./data/video/vid_20201204_2000_reset.mp4,night,1434.375841,8651.294489
vid_4,./data/video/vid_20201205_0800_reset.mp4,day,1440.580666,8365.137593
vid_5,./data/video/vid_20201206_1500_reset.mp4,day,1179.259331,8007.234346
vid_6,./data/video/vid_20201207_0300_reset.mp4,night,1461.500411,9283.33203
vid_7,./data/video/vid_20201126_2000_reset.mp4,night,1557.429657,9815.132429
vid_8,./data/video/vid_20201127_0800_reset.mp4,day,1614.397341,8924.909616
vid_9,./data/video/vid_20201203_2000_reset.mp4,night,1774.021043,8871.93479
vid_10,./data/video/vid_20201204_0800_reset.mp4,day,1130.152746,7567.680275
vid_11,./data/video/vid_20201207_1600_reset.mp4,day,1455.520375,8906.692023
vid_12,./data/video/vid_20201208_0400_reset.mp4,night,1763.583239,9768.526449
vid_13,./data/video/vid_20201127_2000_reset.mp4,night,1645.42337,8525.623848
vid_14,./data/video/vid_20201128_0800_reset.mp4,day,2370.120616,7909.097144
vid_15,./data/video/vid_20201202_2000_reset.mp4,night,1681.984296,8996.200585
vid_16,./data/video/vid_20201203_0800_reset.mp4,day,1376.331056,8273.020073
vid_17,./data/video/vid_20201208_1700_reset.mp4,day,2067.363378,10790.0093
vid_18,./data/video/vid_20201209_0500_reset.mp4,night,1343.413854,8189.122348
vid_19,./data/video/vid_20201128_2000_reset.mp4,night,1741.58722,8699.874553
vid_20,./data/video/vid_20201129_0800_reset.mp4,day,1172.183301,8404.446933
vid_21,./data/video/vid_20201201_2000_reset.mp4,night,1441.817176,8758.856416
vid_22,./data/video/vid_20201202_0800_reset.mp4,day,1591.744672,6437.452186
vid_23,./data/video/vid_20201209_1800_reset.mp4,night,1291.330546,8973.117294
vid_24,./data/video/vid_20201210_0600_reset.mp4,day,1528.512982,8504.852682
vid_25,./data/video/vid_20201210_1800_reset.mp4,night,1896.069064,8662.08832
vid_26,./data/video/vid_20201129_2000_reset.mp4,night,1706.178453,9395.654154
vid_27,./data/video/vid_20201130_0800_reset.mp4,day,1346.760548,7465.56311
vid_28,./data/video/vid_20201130_2000_reset.mp4,night,1300.633717,7843.955096
vid_29,./data/video/vid_20201201_0800_reset.mp4,day,1696.055028,7118.449602
vid_30,./data/video/vid_20201127_2300_reset.mp4,night,1797.573706,8262.495679
